Book Title,Category,Difficulty,Est. Weeks,Notes,O'Reilly URL,Priority,Reading Order,Status
LLM Design Patterns,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781836207030/,,,📋 Not Started
"Building AI Agents with LLMs, RAG, and Knowledge Graphs",LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781835087060/,,,📋 Not Started
"Natural Language Processing in Action, Second Edition",NLP,,,,https://learning.oreilly.com/api/v1/continue/9781617299445/,,,📋 Not Started
AI Agents in Action,AI Agents,,,,https://learning.oreilly.com/api/v1/continue/9781633436343/,,,📋 Not Started
Building AI-Powered Products,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781098152697/,,,📋 Not Started
Building Agentic AI Systems,AI Agents,,,,https://learning.oreilly.com/api/v1/continue/9781803238753/,,,📋 Not Started
LLMs in Production,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781633437203/,,,📋 Not Started
Machine Learning Algorithms in Depth,Machine Learning Fundamentals,,,,https://learning.oreilly.com/api/v1/continue/9781633439214/,,,📋 Not Started
Machine Learning System Design,Machine Learning Fundamentals,,,,https://learning.oreilly.com/api/v1/continue/9781633438750/,,,📋 Not Started
Mathematics of Machine Learning,Mathematics,,,,https://learning.oreilly.com/api/v1/continue/9781837027873/,,,📋 Not Started
Coding with ChatGPT and Other LLMs,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781805125051/,,,📋 Not Started
LLMOps,MLOps & LLMOps,,,,https://learning.oreilly.com/api/v1/continue/9781098154196/,,,📋 Not Started
Building LLM Powered Applications,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781835462317/,,,📋 Not Started
The Developer's Playbook for Large Language Model Security,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781098162191/,,,📋 Not Started
Prompt Engineering for Generative AI,Prompt Engineering,,,,https://learning.oreilly.com/api/v1/continue/9781098153427/,,,📋 Not Started
AI Engineering,AI Engineering,,,,https://learning.oreilly.com/api/v1/continue/9781098166298/,,,📋 Not Started
Building LLMs for Production,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9798324731472/,,,📋 Not Started
Natural Language Processing with Python,NLP,,,,https://learning.oreilly.com/api/v1/continue/9781837021635/,,,📋 Not Started
LLM Engineer's Handbook,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781836200079/,,,📋 Not Started
Math and Architectures of Deep Learning,Mathematics,,,,https://learning.oreilly.com/api/v1/continue/9781617296482/,,,📋 Not Started
"Natural Language Processing with Transformers, Revised Edition",Deep Learning & Transformers,,,,https://learning.oreilly.com/api/v1/continue/9781098136789/,,,📋 Not Started
Generative AI on AWS,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781098159214/,,,📋 Not Started
Foundations of Scalable Systems,Production Systems,,,,https://learning.oreilly.com/api/v1/continue/9781098106058/,,,📋 Not Started
Prompt Engineering for LLMs,Prompt Engineering,,,,https://learning.oreilly.com/api/v1/continue/9781098156145/,,,📋 Not Started
Learning LangChain,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781098167271/,,,📋 Not Started
Designing Machine Learning Systems,Machine Learning Fundamentals,,,,https://learning.oreilly.com/api/v1/continue/9781098107956/,,,📋 Not Started
Introducing MLOps,MLOps & LLMOps,,,,https://learning.oreilly.com/api/v1/continue/9781492083283/,,,📋 Not Started
Designing Large Language Model Applications,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781098150495/,,,📋 Not Started
Hands-On Generative AI with Transformers and Diffusion Models,Deep Learning & Transformers,,,,https://learning.oreilly.com/api/v1/continue/9781098149239/,,,📋 Not Started
Practical MLOps,MLOps & LLMOps,,,,https://learning.oreilly.com/api/v1/continue/9781098103002/,,,📋 Not Started
Build a Large Language Model (From Scratch),Deep Learning & Transformers,,,,https://learning.oreilly.com/api/v1/continue/9781633437166/,,,📖 Reading
Practical Recommender Systems,Production Systems,,,,https://learning.oreilly.com/api/v1/continue/9781617292705/,,,📋 Not Started
Hands-On Large Language Models,LLM & Generative AI,,,,https://learning.oreilly.com/api/v1/continue/9781098150952/,,,📋 Not Started
